id,codigo,descripcion,provincia_id
2000,01,TACNA,208
300,03,CUMBA,8
392,02,HUALLANCA,21
575,25,VITOR,39
750,11,SORAS,56
221,01,CHACHAPOYAS,2
222,02,ASUNCION,2
223,03,BALSAS,2
224,04,CHETO,2
225,05,CHILIQUIN,2
226,06,CHUQUIBAMBA,2
227,07,GRANADA,2
228,08,HUANCAS,2
229,09,LA JALCA,2
230,10,LEIMEBAMBA,2
231,11,LEVANTO,2
232,12,MAGDALENA,2
233,13,MARISCAL CASTILLA,2
234,14,MOLINOPAMPA,2
235,15,MONTEVIDEO,2
236,16,OLLEROS,2
237,17,QUINJALCA,2
238,18,SAN FRANCISCO DE DAGUAS,2
239,19,SAN ISIDRO DE MAINO,2
240,20,SOLOCO,2
241,21,SONCHE,2
242,01,BAGUA,3
243,02,ARAMANGO,3
244,03,COPALLIN,3
245,04,EL PARCO,3
246,05,IMAZA,3
247,06,LA PECA,3
248,01,JUMBILLA,4
249,02,CHISQUILLA,4
250,03,CHURUJA,4
251,04,COROSHA,4
252,05,CUISPES,4
253,06,FLORIDA,4
254,07,JAZAN,4
255,08,RECTA,4
256,09,SAN CARLOS,4
257,10,SHIPASBAMBA,4
258,11,VALERA,4
259,12,YAMBRASBAMBA,4
260,01,NIEVA,5
261,02,EL CENEPA,5
262,03,RIO SANTIAGO,5
263,01,LAMUD,6
264,02,CAMPORREDONDO,6
265,03,COCABAMBA,6
266,04,COLCAMAR,6
267,05,CONILA,6
268,06,INGUILPATA,6
269,07,LONGUITA,6
270,08,LONYA CHICO,6
271,09,LUYA,6
272,10,LUYA VIEJO,6
273,11,MARIA,6
274,12,OCALLI,6
275,13,OCUMAL,6
276,14,PISUQUIA,6
277,15,PROVIDENCIA,6
278,16,SAN CRISTOBAL,6
279,17,SAN FRANCISCO DEL YESO,6
280,18,SAN JERONIMO,6
281,19,SAN JUAN DE LOPECANCHA,6
282,20,SANTA CATALINA,6
283,21,SANTO TOMAS,6
284,22,TINGO,6
285,23,TRITA,6
286,01,SAN NICOLAS,7
287,02,CHIRIMOTO,7
288,03,COCHAMAL,7
289,04,HUAMBO,7
290,05,LIMABAMBA,7
291,06,LONGAR,7
292,07,MARISCAL BENAVIDES,7
293,08,MILPUC,7
294,09,OMIA,7
295,10,SANTA ROSA,7
296,11,TOTORA,7
297,12,VISTA ALEGRE,7
298,01,BAGUA GRANDE,8
299,02,CAJARURO,8
301,04,EL MILAGRO,8
302,05,JAMALCA,8
303,06,LONYA GRANDE,8
304,07,YAMON,8
305,01,HUARAZ,10
306,02,COCHABAMBA,10
307,03,COLCABAMBA,10
308,04,HUANCHAY,10
309,05,INDEPENDENCIA,10
310,06,JANGAS,10
311,07,LA LIBERTAD,10
312,08,OLLEROS,10
313,09,PAMPAS,10
314,10,PARIACOTO,10
315,11,PIRA,10
316,12,TARICA,10
317,01,AIJA,11
318,02,CORIS,11
319,03,HUACLLAN,11
320,04,LA MERCED,11
321,05,SUCCHA,11
322,01,LLAMELLIN,12
323,02,ACZO,12
324,03,CHACCHO,12
325,04,CHINGAS,12
326,05,MIRGAS,12
327,06,SAN JUAN DE RONTOY,12
328,01,CHACAS,13
329,02,ACOCHACA,13
330,01,CHIQUIAN,14
331,02,ABELARDO PARDO LEZAMETA,14
332,03,ANTONIO RAYMONDI,14
333,04,AQUIA,14
334,05,CAJACAY,14
335,06,CANIS,14
336,07,COLQUIOC,14
337,08,HUALLANCA,14
338,09,HUASTA,14
339,10,HUAYLLACAYAN,14
340,11,LA PRIMAVERA,14
341,12,MANGAS,14
342,13,PACLLON,14
343,14,SAN MIGUEL DE CORPANQUI,14
344,15,TICLLOS,14
345,01,CARHUAZ,15
346,02,ACOPAMPA,15
347,03,AMASHCA,15
348,04,ANTA,15
349,05,ATAQUERO,15
350,06,MARCARA,15
351,07,PARIAHUANCA,15
352,08,SAN MIGUEL DE ACO,15
353,09,SHILLA,15
354,10,TINCO,15
355,11,YUNGAR,15
356,01,SAN LUIS,16
357,02,SAN NICOLAS,16
358,03,YAUYA,16
359,01,CASMA,17
360,02,BUENA VISTA ALTA,17
361,03,COMANDANTE NOEL,17
362,04,YAUTAN,17
363,01,CORONGO,18
364,02,ACO,18
365,03,BAMBAS,18
366,04,CUSCA,18
